Game,Platform,Release_Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,MetaScore,UserReview
ac/dc live: rock band track pack,X360,2008.0,Misc,MTV Games,0.42,0.0,0.0,0.04,0.46,61.5,5.199999999999999
academy of champions: soccer,Wii,2009.0,Sports,Ubisoft,0.1,0.02,0.0,0.01,0.13,64.0,6.8
accel world: ginyoku no kakusei,PS3,2012.0,Adventure,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,
accel world: ginyoku no kakusei,PSP,2012.0,Adventure,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,
accel world: kasoku no chouten,PS3,2013.0,Adventure,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,,
accel world: kasoku no chouten,PSP,2013.0,Adventure,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01,,
ace attorney 6,3DS,2016.0,Adventure,Capcom,0.0,0.0,0.27,0.0,0.27,,
ace attorney investigations 2,DS,2011.0,Adventure,Capcom,0.0,0.0,0.26,0.0,0.26,,
ace attorney investigations: miles edgeworth,DS,2009.0,Adventure,Capcom,0.27,0.15,0.3,0.04,0.76,,
ace combat 04: shattered skies,PS2,2001.0,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17,89.0,8.7
ace combat 2,PS,1997.0,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,83.0,8.7
ace combat 3: electrosphere,PS,1999.0,Simulation,Sony Computer Entertainment,0.22,0.15,0.4,0.05,0.83,,
ace combat 5: the unsung war,PS2,2004.0,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,84.0,8.9
ace combat 6: fires of liberation,X360,2007.0,Simulation,Atari,0.69,0.04,0.22,0.06,1.02,80.0,8.0
ace combat x: skies of deception,PSP,2006.0,Simulation,Namco Bandai Games,0.37,0.31,0.12,0.19,0.99,75.0,8.4
ace combat zero: the belkan war,PS2,2006.0,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51,75.0,8.5
ace combat: assault horizon,PS3,2011.0,Action,Namco Bandai Games,0.6,0.32,0.44,0.14,1.48,77.5,6.449999999999999
ace combat: assault horizon,X360,2011.0,Action,Namco Bandai Games,0.6,0.24,0.06,0.08,0.98,77.5,6.449999999999999
ace combat: assault horizon legacy,3DS,2011.0,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01,0.24,71.0,7.6
ace combat: joint assault,PSP,2010.0,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29,71.0,7.4
achtung panzer: kharkov 1943,PC,2010.0,Strategy,Mamba Games,0.0,0.01,0.0,0.0,0.02,,
act of aggression,PC,2015.0,Strategy,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01,71.0,7.1
action bass,PS,2000.0,Action,Take-Two Interactive,0.64,0.43,0.0,0.07,1.14,51.0,
action force,2600,1982.0,Action,CPG Products,0.5,0.03,0.0,0.01,0.54,,
active health with carol vorderman,DS,2009.0,Sports,Nintendo,0.0,0.18,0.0,0.01,0.19,,
active life explorer,Wii,2010.0,Sports,Namco Bandai Games,0.14,0.0,0.0,0.01,0.15,,
active life: extreme challenge,Wii,2009.0,Sports,Namco Bandai Games,0.15,0.27,0.0,0.06,0.48,56.0,
active life: magical carnival,Wii,2011.0,Misc,Namco Bandai Games,0.04,0.01,0.0,0.0,0.05,,
active life: outdoor challenge,Wii,2008.0,Sports,Atari,0.79,0.44,0.19,0.14,1.55,,
activision anthology,GBA,2003.0,Misc,Activision,0.03,0.01,0.0,0.0,0.05,79.0,6.0
activision anthology,PS2,2002.0,Misc,Activision,0.25,0.19,0.0,0.06,0.5,75.0,8.1
activision hits: remixed,PSP,2006.0,Misc,Activision,0.05,0.0,0.0,0.0,0.06,,
actua tennis,PS,1997.0,Sports,Gremlin Interactive Ltd,0.07,0.05,0.0,0.01,0.13,,
adidas power soccer,PS,1996.0,Sports,Psygnosis,0.02,0.01,0.0,0.0,0.04,,
